2026.04.02 19:04:40 WARN  Using H2 2.4.240 which is newer than the version Flyway has been verified with. The latest verified version of H2 is 2.3.232.
2026.04.02 19:04:41 WARN  no build tool detected in workspace 'E:\Wovely'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2026.04.02 19:04:41 WARN  Build server is not auto-connectable.
2026.04.02 19:04:41 WARN  no build target for: E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\repository\UserRepository.java
2026.04.02 19:04:41 WARN  no build target for: E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\controllers\OrderAdminController.java
2026.04.02 19:04:41 WARN  no build target for: E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\services\OrderService.java
2026.04.02 19:04:41 WARN  no build target for: E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\repository\OrderRepository.java
2026.04.02 19:04:41 WARN  no build target for: E:\Wovely\backend\products\src\main\java\com\wovely\products\WovelyProductsApplication.java
2026.04.02 19:04:41 WARN  no build target for: E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\controllers\AuthController.java
2026.04.02 19:04:41 WARN  no build target for: E:\Wovely\backend\products\src\main\java\com\wovely\products\controllers\ProductController.java
2026.04.02 19:04:41 WARN  no build target for: E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\models\EOrderStatus.java
2026.04.02 19:04:41 WARN  no build target for: E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\models\ERole.java
2026.04.02 19:04:41 WARN  no build target for: E:\Wovely\backend\products\src\main\java\com\wovely\products\repository\ProductRepository.java
2026.04.02 19:04:41 WARN  no build target for: E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\WovelyApplication.java
2026.04.02 19:04:41 WARN  no build target for: E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\models\EAccountStatus.java
2026.04.02 19:04:41 WARN  no build target for: E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\models\Order.java
2026.04.02 19:04:41 WARN  no build target for: E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\models\User.java
2026.04.02 19:04:41 WARN  no build target for: E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\models\OrderItem.java
2026.04.02 19:04:41 WARN  no build target for: E:\Wovely\backend\products\src\main\java\com\wovely\products\controllers\AdminProductController.java
2026.04.02 19:04:41 WARN  no build target for: E:\Wovely\backend\products\src\main\java\com\wovely\products\models\Product.java
Apr 02, 2026 7:04:45 PM org.eclipse.lsp4j.jsonrpc.services.GenericEndpoint notify
INFO: Unsupported notification method: $/setTrace
2026.04.02 19:04:47 WARN  no build target for: E:\Wovely\backend\products\src\main\java\com\wovely\products\security\WebSecurityConfig.java
2026.04.02 19:04:47 WARN  no build target for: E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\security\WebSecurityConfig.java
2026.04.02 19:04:47 WARN  no build target for: E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\payload\response\OrderDTO.java
2026.04.02 19:04:47 WARN  no build target for: E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\payload\request\OrderInterventionRequest.java
2026.04.02 19:04:47 WARN  no build target for: E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\controllers\AdminUserController.java
2026.04.02 19:04:54 WARN  no build target for: E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\security\jwt\JwtUtils.java
2026.04.02 19:04:54 WARN  no build target for: E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\security\services\UserDetailsImpl.java
2026.04.02 19:04:54 WARN  no build target for: E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\payload\response\UserCrmDTO.java
2026.04.02 19:04:54 WARN  no build target for: E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\payload\request\PenaltyRequest.java
2026.04.02 19:04:54 WARN  no build target for: E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\models\Role.java
2026.04.02 19:04:54 WARN  Running javac-semanticdb failed for file:///E:/Wovely/backend/wovely/src/main/java/com/wovely/wovely/security/services/UserDetailsImpl.java. Output:

2026.04.02 19:04:59 WARN  no build target for: E:\Wovely\backend\products\src\main\java\com\wovely\products\security\AuthTokenFilter.java
2026.04.02 19:04:59 WARN  no build target for: E:\Wovely\backend\products\src\main\java\com\wovely\products\security\JwtUtils.java
2026.04.02 19:04:59 WARN  no build target for: E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\security\jwt\AuthTokenFilter.java
2026.04.02 19:04:59 WARN  no build target for: E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\security\jwt\AuthEntryPointJwt.java
2026.04.02 19:04:59 WARN  no build target for: E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\security\services\UserDetailsServiceImpl.java
2026.04.02 19:05:05 WARN  no build target for: E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\payload\request\LoginRequest.java
2026.04.02 19:05:05 WARN  no build target for: E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\payload\request\SignupRequest.java
2026.04.02 19:05:05 WARN  no build target for: E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\payload\response\JwtResponse.java
2026.04.02 19:05:05 WARN  no build target for: E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\payload\response\MessageResponse.java
2026.04.02 19:05:05 WARN  no build target for: E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\payload\response\OrderItemDTO.java
2026.04.02 19:05:05 WARN  no build target for: E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\payload\request\OrderSearchRequest.java
2026.04.02 19:07:12 INFO  no build target found for E:\Wovely\backend\products\src\main\java\com\wovely\products\WovelyProductsApplication.java. Using fallback presentation compiler.
2026.04.02 19:07:18 INFO  no build target found for E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\WovelyApplication.java. Using fallback presentation compiler.
2026.04.02 19:07:18 INFO  no build target found for E:\Wovely\backend\products\src\main\java\com\wovely\products\models\Product.java. Using fallback presentation compiler.
2026.04.02 19:07:20 INFO  no build target found for E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\models\User.java. Using fallback presentation compiler.
2026.04.02 19:07:20 INFO  no build target found for E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\models\Order.java. Using fallback presentation compiler.
2026.04.02 19:07:20 INFO  no build target found for E:\Wovely\backend\wovely\src\main\java\com\wovely\wovely\models\OrderItem.java. Using fallback presentation compiler.
2026.04.02 19:07:26 INFO  no build target found for E:\Wovely\backend\products\src\main\java\com\wovely\products\controllers\ProductController.java. Using fallback presentation compiler.
